Name,Team,League,PA,BB%,K%,BB/K,ISO,BABIP,wOBA,xwOBA,wRC,wRC+,wRAA,BsR,wSB,Off,Def,Spd,WAR
Mike Trout,LAA,AL,556.0,0.2,0.3,0.49,0.206,0.31,0.343,0.368,79.28,119.75,13.58,-0.515,-0.577,12.43,-14.01,3.11,1.8
Nolan Schanuel,LAA,AL,564.0,0.1,0.1,0.83,0.125,0.286,0.327,0.334,73.03,108.63,6.39,-1.21,-0.453,4.53,-10.15,3.54,1.41
Paul Goldschmidt,NYY,AL,534.0,0.1,0.2,0.36,0.129,0.325,0.316,0.334,64.42,103.43,1.32,-2.54,-0.248,-0.386,-10.36,4.36,0.781
Randy Arozarena,SEA,AL,709.0,0.1,0.3,0.34,0.188,0.297,0.332,0.336,94.83,119.97,11.06,-1.26,2.59,15.43,-11.54,5.79,2.89
Riley Greene,DET,AL,655.0,0.1,0.3,0.23,0.235,0.323,0.343,0.347,93.47,120.78,16.08,-2.0,-0.907,14.04,-8.03,2.71,2.92
Salvador Perez,KCR,AL,641.0,0.0,0.2,0.22,0.209,0.251,0.311,0.365,74.43,95.45,-1.31,-4.76,-0.733,-8.2,-8.68,0.597,0.53
Shea Langeliers,ATH,AL,523.0,0.1,0.2,0.35,0.26,0.29,0.364,0.339,83.35,132.35,21.55,0.628,0.291,20.57,-0.023,3.67,3.94
Spencer Torkelson,DET,AL,649.0,0.1,0.3,0.43,0.217,0.283,0.339,0.346,90.16,117.57,13.48,-0.49,-1.01,12.95,-12.38,2.68,2.34
Steven Kwan,CLE,AL,693.0,0.1,0.1,0.92,0.102,0.283,0.31,0.313,79.89,98.94,-2.0,0.462,0.931,-0.401,7.59,4.6,3.18
Taylor Ward,LAA,AL,663.0,0.1,0.3,0.43,0.247,0.257,0.339,0.342,92.17,116.72,13.83,-1.11,-0.534,11.96,-6.24,3.5,2.92
Trent Grisham,NYY,AL,581.0,0.1,0.2,0.6,0.229,0.253,0.353,0.377,87.61,129.03,18.96,-2.99,-1.26,16.89,-6.09,3.05,3.15
Trevor Larnach,MIN,AL,567.0,0.1,0.2,0.43,0.153,0.295,0.317,0.32,68.61,101.86,1.61,-2.03,-1.76,-0.792,-16.57,2.81,0.22
Trevor Story,BOS,AL,654.0,0.1,0.3,0.19,0.17,0.33,0.32,0.317,81.12,101.0,3.85,7.79,4.83,8.56,-1.56,5.85,3.02
Tyler Soderstrom,ATH,AL,624.0,0.1,0.2,0.39,0.198,0.327,0.354,0.352,94.23,125.26,20.5,-0.683,-0.645,17.89,-6.24,3.57,3.39
Vinnie Pasquantino,KCR,AL,682.0,0.1,0.2,0.46,0.211,0.271,0.34,0.345,95.39,115.61,14.81,-4.59,-0.784,7.96,-16.93,1.76,1.48
Vladimir Guerrero Jr.,TOR,AL,680.0,0.1,0.1,0.86,0.175,0.313,0.366,0.396,109.38,137.03,29.03,-2.59,-1.31,27.09,-12.51,2.9,3.88
Wyatt Langford,TEX,AL,573.0,0.1,0.3,0.49,0.19,0.299,0.337,0.353,78.91,118.21,11.21,1.57,0.979,13.86,6.16,4.91,4.07
Yainer Diaz,HOU,AL,567.0,0.0,0.2,0.21,0.161,0.277,0.3,0.34,61.05,91.88,-5.95,-1.66,-0.955,-7.08,2.97,2.19,1.57
Yandy Díaz,TBR,AL,651.0,0.1,0.1,0.62,0.182,0.318,0.364,0.364,104.0,134.61,27.08,-1.04,-0.991,25.51,-18.53,2.49,3.01
Zach McKinstry,DET,AL,511.0,0.1,0.2,0.41,0.179,0.314,0.333,0.308,68.65,113.68,8.27,4.4,0.94,12.64,0.702,7.41,3.16
Zach Neto,LAA,AL,554.0,0.1,0.3,0.22,0.217,0.312,0.337,0.355,76.27,115.59,10.81,3.01,0.762,13.19,-0.95,5.97,3.2
