Name,Team,League,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF,GDP,AVG,OBP,SLG,OPS
Jorge Polanco,SEA,AL,138.0,524,471.0,64.0,125.0,69.0,30.0,0.0,26.0,78.0,6.0,3.0,42.0,82.0,3.0,3.0,5.0,7.0,0.265,0.326,0.495,0.821
Jose Altuve,HOU,AL,155.0,654,588.0,80.0,156.0,105.0,24.0,1.0,26.0,77.0,10.0,6.0,55.0,109.0,4.0,1.0,6.0,20.0,0.265,0.329,0.442,0.771
Josh Jung,TEX,AL,131.0,511,482.0,53.0,121.0,83.0,23.0,1.0,14.0,61.0,4.0,1.0,27.0,129.0,2.0,0.0,0.0,10.0,0.251,0.294,0.39,0.684
Josh Smith,TEX,AL,144.0,563,495.0,70.0,124.0,89.0,23.0,2.0,10.0,35.0,12.0,3.0,55.0,100.0,8.0,3.0,1.0,3.0,0.251,0.335,0.366,0.7
José Ramírez,CLE,AL,158.0,672,593.0,103.0,168.0,101.0,34.0,3.0,30.0,85.0,44.0,7.0,66.0,74.0,8.0,0.0,5.0,9.0,0.283,0.36,0.503,0.863
Julio Rodríguez,SEA,AL,160.0,710,652.0,106.0,174.0,107.0,31.0,4.0,32.0,95.0,30.0,6.0,44.0,152.0,12.0,0.0,2.0,15.0,0.267,0.324,0.474,0.798
Junior Caminero,TBR,AL,154.0,653,602.0,93.0,159.0,86.0,28.0,0.0,45.0,110.0,7.0,1.0,41.0,125.0,3.0,0.0,7.0,31.0,0.264,0.311,0.535,0.846
Kyle Manzardo,CLE,AL,142.0,531,470.0,47.0,110.0,62.0,19.0,2.0,27.0,70.0,2.0,0.0,48.0,135.0,8.0,0.0,5.0,7.0,0.234,0.313,0.455,0.768
Lawrence Butler,ATH,AL,152.0,630,569.0,83.0,133.0,80.0,30.0,2.0,21.0,63.0,22.0,7.0,59.0,179.0,0.0,2.0,0.0,7.0,0.234,0.306,0.404,0.71
Lenyn Sosa,CHW,AL,140.0,544,518.0,57.0,137.0,94.0,20.0,1.0,22.0,75.0,2.0,1.0,18.0,127.0,4.0,1.0,3.0,11.0,0.264,0.293,0.434,0.727
Luis Rengifo,LAA,AL,147.0,541,501.0,55.0,119.0,91.0,16.0,3.0,9.0,43.0,10.0,7.0,33.0,104.0,3.0,1.0,3.0,7.0,0.238,0.287,0.335,0.622
Maikel Garcia,KCR,AL,160.0,666,595.0,81.0,170.0,110.0,39.0,5.0,16.0,74.0,23.0,9.0,62.0,84.0,1.0,3.0,5.0,14.0,0.286,0.351,0.449,0.8
Marcus Semien,TEX,AL,127.0,534,470.0,62.0,108.0,76.0,16.0,1.0,15.0,62.0,11.0,1.0,50.0,93.0,5.0,0.0,9.0,8.0,0.23,0.305,0.364,0.669
Miguel Vargas,CHW,AL,138.0,569,504.0,80.0,118.0,68.0,32.0,2.0,16.0,60.0,6.0,0.0,56.0,100.0,6.0,0.0,3.0,9.0,0.234,0.316,0.401,0.717
Mike Trout,LAA,AL,130.0,556,456.0,73.0,106.0,65.0,14.0,1.0,26.0,64.0,2.0,0.0,87.0,178.0,6.0,0.0,6.0,7.0,0.232,0.359,0.439,0.797
Nolan Schanuel,LAA,AL,132.0,564,488.0,64.0,129.0,93.0,23.0,1.0,12.0,53.0,5.0,1.0,59.0,71.0,10.0,3.0,4.0,10.0,0.264,0.353,0.389,0.742
Paul Goldschmidt,NYY,AL,146.0,534,489.0,76.0,134.0,92.0,31.0,1.0,10.0,45.0,5.0,1.0,36.0,100.0,4.0,0.0,2.0,8.0,0.274,0.328,0.403,0.731
Randy Arozarena,SEA,AL,160.0,709,613.0,95.0,146.0,86.0,32.0,1.0,27.0,76.0,31.0,6.0,64.0,191.0,27.0,0.0,5.0,9.0,0.238,0.334,0.426,0.76
Riley Greene,DET,AL,157.0,655,600.0,84.0,155.0,87.0,31.0,1.0,36.0,111.0,2.0,1.0,46.0,201.0,4.0,0.0,5.0,14.0,0.258,0.313,0.493,0.806
Salvador Perez,KCR,AL,155.0,641,597.0,54.0,141.0,76.0,35.0,0.0,30.0,100.0,0.0,0.0,28.0,125.0,12.0,0.0,1.0,14.0,0.236,0.284,0.446,0.729
Shea Langeliers,ATH,AL,123.0,523,481.0,73.0,133.0,70.0,32.0,0.0,31.0,72.0,7.0,1.0,36.0,103.0,1.0,0.0,5.0,10.0,0.277,0.325,0.536,0.861
